iris_id,event_timestamp,sepal_length,sepal_width,petal_length,petal_width,species
94,2025-06-20 17:08:16.109720,5.0,2.3,3.3,1.0,versicolor
95,2025-06-20 17:08:16.109720,5.6,2.7,4.2,1.3,versicolor
96,2025-06-20 17:08:16.109720,5.7,3.0,4.2,1.2,versicolor
97,2025-06-20 17:08:16.109720,5.7,2.9,4.2,1.3,versicolor
98,2025-06-20 17:08:16.109720,6.2,2.9,4.3,1.3,versicolor
99,2025-06-20 17:08:16.109720,5.1,2.5,3.0,1.1,versicolor
100,2025-06-20 17:08:16.109720,5.7,2.8,4.1,1.3,versicolor
101,2025-06-20 17:08:16.109720,6.3,3.3,6.0,2.5,virginica
102,2025-06-20 17:08:16.109720,5.8,2.7,5.1,1.9,virginica
103,2025-06-20 17:08:16.109720,7.1,3.0,5.9,2.1,virginica
104,2025-06-20 17:08:16.109720,6.3,2.9,5.6,1.8,virginica
105,2025-06-20 17:08:16.109720,6.5,3.0,5.8,2.2,virginica
106,2025-06-20 17:08:16.109720,7.6,3.0,6.6,2.1,virginica
107,2025-06-20 17:08:16.109720,4.9,2.5,4.5,1.7,virginica
108,2025-06-20 17:08:16.109720,7.3,2.9,6.3,1.8,virginica
109,2025-06-20 17:08:16.109720,6.7,2.5,5.8,1.8,virginica
110,2025-06-20 17:08:16.109720,7.2,3.6,6.1,2.5,virginica
111,2025-06-20 17:08:16.109720,6.5,3.2,5.1,2.0,virginica
112,2025-06-20 17:08:16.109720,6.4,2.7,5.3,1.9,virginica
113,2025-06-20 17:08:16.109720,6.8,3.0,5.5,2.1,virginica
114,2025-06-20 17:08:16.109720,5.7,2.5,5.0,2.0,virginica
115,2025-06-20 17:08:16.109720,5.8,2.8,5.1,2.4,virginica
116,2025-06-20 17:08:16.109720,6.4,3.2,5.3,2.3,virginica
117,2025-06-20 17:08:16.109720,6.5,3.0,5.5,1.8,virginica
118,2025-06-20 17:08:16.109720,7.7,3.8,6.7,2.2,virginica
119,2025-06-20 17:08:16.109720,7.7,2.6,6.9,2.3,virginica
120,2025-06-20 17:08:16.109720,6.0,2.2,5.0,1.5,virginica
121,2025-06-20 17:08:16.109720,6.9,3.2,5.7,2.3,virginica
122,2025-06-20 17:08:16.109720,5.6,2.8,4.9,2.0,virginica
123,2025-06-20 17:08:16.109720,7.7,2.8,6.7,2.0,virginica
124,2025-06-20 17:08:16.109720,6.3,2.7,4.9,1.8,virginica
125,2025-06-20 17:08:16.109720,6.7,3.3,5.7,2.1,virginica
126,2025-06-20 17:08:16.109720,7.2,3.2,6.0,1.8,virginica
127,2025-06-20 17:08:16.109720,6.2,2.8,4.8,1.8,virginica
128,2025-06-20 17:08:16.109720,6.1,3.0,4.9,1.8,virginica
129,2025-06-20 17:08:16.109720,6.4,2.8,5.6,2.1,virginica
130,2025-06-20 17:08:16.109720,7.2,3.0,5.8,1.6,virginica
131,2025-06-20 17:08:16.109720,7.4,2.8,6.1,1.9,virginica
132,2025-06-20 17:08:16.109720,7.9,3.8,6.4,2.0,virginica
133,2025-06-20 17:08:16.109720,6.4,2.8,5.6,2.2,virginica
134,2025-06-20 17:08:16.109720,6.3,2.8,5.1,1.5,virginica
135,2025-06-20 17:08:16.109720,6.1,2.6,5.6,1.4,virginica
136,2025-06-20 17:08:16.109720,7.7,3.0,6.1,2.3,virginica
137,2025-06-20 17:08:16.109720,6.3,3.4,5.6,2.4,virginica
138,2025-06-20 17:08:16.109720,6.4,3.1,5.5,1.8,virginica
139,2025-06-20 17:08:16.109720,6.0,3.0,4.8,1.8,virginica
140,2025-06-20 17:08:16.109720,6.9,3.1,5.4,2.1,virginica
141,2025-06-20 17:08:16.109720,6.7,3.1,5.6,2.4,virginica
142,2025-06-20 17:08:16.109720,6.9,3.1,5.1,2.3,virginica
143,2025-06-20 17:08:16.109720,5.8,2.7,5.1,1.9,virginica
144,2025-06-20 17:08:16.109720,6.8,3.2,5.9,2.3,virginica
145,2025-06-20 17:08:16.109720,6.7,3.3,5.7,2.5,virginica
146,2025-06-20 17:08:16.109720,6.7,3.0,5.2,2.3,virginica
147,2025-06-20 17:08:16.109720,6.3,2.5,5.0,1.9,virginica
148,2025-06-20 17:08:16.109720,6.5,3.0,5.2,2.0,virginica
149,2025-06-20 17:08:16.109720,6.2,3.4,5.4,2.3,virginica
150,2025-06-20 17:08:16.109720,5.9,3.0,5.1,1.8,virginica
151,2025-06-20 17:08:16.109720,7.5,3.0,5.1,1.8,virginica
152,2025-06-20 17:08:16.109720,7.9,3.5,5.1,1.8,virginica
